-1.6475	1.1949	9
-1.6475	-1.5482	1
-1.6476	0.2035	6
-1.6476	1.2296	9
-1.6476	-0.1830	5
-1.6477	-1.5586	1
-1.6477	-0.6303	4
-1.6477	-0.5901	4
-1.6478	-0.8949	3
-1.6478	-0.6493	4
-1.6478	0.1240	6
-1.6478	0.1981	6
-1.6479	1.2722	9
-1.6480	-1.1197	2
-1.6480	-0.2147	5
-1.6480	1.3810	9
-1.6481	-1.3136	2
-1.6481	-0.8616	3
-1.6482	-0.0517	5
-1.6482	0.1619	6
-1.6482	1.2949	9
-1.6482	-1.3521	2
-1.6482	0.9454	8
-1.6483	-1.4786	1
-1.6483	1.2108	9
-1.6483	-1.8116	1
-1.6483	0.0773	6
-1.6483	0.2949	6
-1.6483	-1.2515	2
-1.6484	-0.0547	5
-1.6484	-0.5182	4
-1.6485	-0.9351	3
-1.6486	1.4501	10
-1.6486	-0.5214	4
-1.6486	0.4489	7
-1.6486	-0.2105	5
-1.6487	1.2000	9
-1.6487	-0.3645	4
-1.6487	0.4574	7
-1.6488	0.1544	6
-1.6488	0.9826	8
-1.6488	-0.9766	3
-1.6488	-0.5535	4
-1.6489	-0.5317	4
-1.6490	1.5899	10
-1.6491	-0.4671	4
-1.6491	-1.1005	2
-1.6491	-1.2053	2
-1.6492	0.1903	6
-1.6492	0.4921	7
-1.6493	-0.8473	3
-1.6493	-1.4295	1
-1.6493	-1.3186	2
-1.6494	-0.7089	3
-1.6495	0.0659	6
-1.6495	-0.4671	4
-1.6495	-0.5203	4
-1.6497	-0.4739	4
-1.6497	0.4859	7
-1.6498	1.4942	10
-1.6499	-0.5764	4
-1.6500	-0.5793	4
-1.6500	1.1911	9
-1.6501	-0.5838	4
-1.6501	0.5699	7
-1.6501	-0.8281	3
-1.6503	1.1682	9
-1.6503	0.9656	8
-1.6503	-0.4319	4
-1.6504	1.6394	10
-1.6504	-0.8002	3
-1.6505	1.0691	9
-1.6505	-1.0750	2
-1.6505	1.4209	10
-1.6506	1.7443	10
-1.6506	0.9993	8
-1.6506	-0.8626	3
-1.6507	1.5941	10
-1.6507	-1.3215	2
